Q.NO.,Q.Type,Date,Ministry,Member,Subject,links
2986,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Sushil Kumar",Take Home Ration,http://164.100.24.220/loksabhaquestions/annex/175/AU2986.pdf
2975,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Majumdar,Dr. Sukanta,Pramanik,Shri Nisith,Roy,Dr. Jayanta Kumar,Yadav,Shri Dinesh Chandra,Singh,Shri Rajiv Ranjan (Lalan),Mallah,Shri Kripanath,Kumar,Shri Santosh,Chauhan,Shri Nihal Chand,Meena,Smt. Jaskaur,Singh Deo,Smt. Sangeeta Kumari,Singh,Shri Bhola,Karandlaje,Km. Shobha,Sonkar,Shri Vinod Kumar,Singh,Shri Rajveer (Raju Bhaiya),Kumar,Shri Kaushalendra,Sethi,Smt. Sarmistha",Mission Poshan 2.0,http://164.100.24.220/loksabhaquestions/annex/175/AU2975.pdf
2971,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Jaunapuria,Shri Sukhbir Singh",Poorna Shakti Kendra Project,http://164.100.24.220/loksabhaquestions/annex/175/AU2971.pdf
2953,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Brijendra",Help Centres for Women,http://164.100.24.220/loksabhaquestions/annex/175/AU2953.pdf
2950,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Unnithan,Shri Rajmohan",Me Too movement,http://164.100.24.220/loksabhaquestions/annex/175/AU2950.pdf
2929,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Bhavana Gawali (Patil), Ms.",Anganwadi Centres And Child Development Projects In Maharshtra,http://164.100.24.220/loksabhaquestions/annex/175/AU2929.pdf
2927,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Dr. Amar",Poshan Abhiyan,http://164.100.24.220/loksabhaquestions/annex/175/AU2927.pdf
2914,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Mahtab,Shri Bhartruhari",Integrated Child Protection Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU2914.pdf
2913,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Paswan,Shri Chirag",Anganwadi Centres in Bihar,http://164.100.24.220/loksabhaquestions/annex/175/AU2913.pdf
2912,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Mohan,Shri P. C.",Severe Acute Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2912.pdf
2908,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Shah,Smt. Mala Rajya Laxmi,Chandel,Kunwar Pushpendra Singh,Jadhav,Shri Prataprao",Malnutrition Awareness Campaign,http://164.100.24.220/loksabhaquestions/annex/175/AU2908.pdf
2902,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Premachandran,Shri N.K.",Training Programme for Anganwadi Worker,http://164.100.24.220/loksabhaquestions/annex/175/AU2902.pdf
2900,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Gandhi,Smt. Maneka Sanjay",Anganwadi Services Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU2900.pdf
2898,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Katara,Shri Kanakmal",National Credit Fund for Women,http://164.100.24.220/loksabhaquestions/annex/175/AU2898.pdf
2892,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Bohra,Shri Ramcharan",Revised Guidelines on Nutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2892.pdf
2891,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Y. S. Avinash",Implementation of POSHAN Abhiyan Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU2891.pdf
2886,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Devji Mansingram",Special Cell For Monitoring of Implementation of Schemes,http://164.100.24.220/loksabhaquestions/annex/175/AU2886.pdf
2878,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,Dr. T. Sumathy (a) Thamizhachi Thangapandian,Budgetary Allocation,http://164.100.24.220/loksabhaquestions/annex/175/AU2878.pdf
2877,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Ariff,Adv. Abdul Majeed",Severe Childhood Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2877.pdf
2872,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Bhatia,Shri Sanjay",Digital Upskilling of Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/175/AU2872.pdf
2870,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Krishna Pal Singh",Impact of Child Marriage on Infant and Maternal Mortality,http://164.100.24.220/loksabhaquestions/annex/175/AU2870.pdf
2869,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Kumar,Shri Narendra",Malnourished Children,http://164.100.24.220/loksabhaquestions/annex/175/AU2869.pdf
2863,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Siddeshwara,Shri Gowdar Mallikarjunappa",IFPRI Report on Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2863.pdf
2850,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Oram,Shri Jual,Sarangi,Smt. Aparajita",Community Based Management of Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2850.pdf
2843,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Gogoi,Shri Gaurav",Impact of Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU2843.pdf
2833,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Naik-Nimbalkar,Shri Ranjeetsinha Hindurao,Anand,Shri D. M. Kathir,Khuba,Shri Bhagwanth,Simha,Shri Prathap,Singh,Shri Sunil Kumar,Udasi,Shri Shivkumar Chanabasappa,Gnanathiraviam,Shri S.,Bhoumik,Ms. Pratima","Juvenile Justice (Care and Protection of Children) Act, 2015",http://164.100.24.220/loksabhaquestions/annex/175/AU2833.pdf
2828,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Galla,Shri Jayadev",Impact of Early Marriage On School Dropout Rates,http://164.100.24.220/loksabhaquestions/annex/175/AU2828.pdf
2812,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Lallu",Nutritional Targets,http://164.100.24.220/loksabhaquestions/annex/175/AU2812.pdf
2808,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Kodikunnil,Shri Suresh",Acid Attack Victims,http://164.100.24.220/loksabhaquestions/annex/175/AU2808.pdf
2807,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Devi,Smt. Veena,Raut,Shri Vinayak Bhaurao",Orphanages,http://164.100.24.220/loksabhaquestions/annex/175/AU2807.pdf
2804,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Baij,Shri Deepak",Unutilised Funds due to COVID-19 Related Disruption,http://164.100.24.220/loksabhaquestions/annex/175/AU2804.pdf
2802,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Seth,Shri Sanjay,Sahoo,Shri Mahesh",Trafficking of Children,http://164.100.24.220/loksabhaquestions/annex/175/AU2802.pdf
2800,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Vajendla Rao,Smt. Poonam (Mahajan)",Integrated Child Development Services,http://164.100.24.220/loksabhaquestions/annex/175/AU2800.pdf
2784,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Kunwar, Danish Ali",Child Deaths,http://164.100.24.220/loksabhaquestions/annex/175/AU2784.pdf
2763,UNSTARRED ,12.03.2021,WOMEN AND CHILD DEVELOPMENT,"Bharat,Shri Margani",Mahila Police Volunteer Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU2763.pdf
2055,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sahu,Shri Chunni Lal",Pension Scheme for Destitute Women,http://164.100.24.220/loksabhaquestions/annex/175/AU2055.pdf
2037,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Mahtab,Shri Bhartruhari",Global Nutrition Report,http://164.100.24.220/loksabhaquestions/annex/175/AU2037.pdf
2033,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Tripathi,Shri Ramapati Ram",Protection of Child Rights,http://164.100.24.220/loksabhaquestions/annex/175/AU2033.pdf
2032,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Basavaraj,Shri Gangasandra Siddappa",Me Too Movement,http://164.100.24.220/loksabhaquestions/annex/175/AU2032.pdf
2028,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji",Modernisation of Anganwadis,http://164.100.24.220/loksabhaquestions/annex/175/AU2028.pdf
2026,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Dilip,Shri Saikia,Kaushik,Shri Ramesh Chander",Nutrition Schemes,http://164.100.24.220/loksabhaquestions/annex/175/AU2026.pdf
2004,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Patel,Smt. Keshari Devi,Kumari,Ms. Diya",Financial Empowerment of Rural Women,http://164.100.24.220/loksabhaquestions/annex/175/AU2004.pdf
1995,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Gandhi,Shri Feroze Varun",Global Hunger Index,http://164.100.24.220/loksabhaquestions/annex/175/AU1995.pdf
1993,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Baij,Shri Deepak",Integrated Child Protection Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU1993.pdf
1990,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sharma,Shri Anurag,Dubey,Shri Vijay Kumar",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU1990.pdf
1979,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Mahato,Shri Jyotirmay Singh",Missing Children,http://164.100.24.220/loksabhaquestions/annex/175/AU1979.pdf
1976,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Verma,Shri Rajesh",Status of Implementation PMMVY,http://164.100.24.220/loksabhaquestions/annex/175/AU1976.pdf
1974,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Kamait,Shri Dileshwar,Kora,Smt. Geeta,Sharma,Shri Jugal Kishore",Child Beggars,http://164.100.24.220/loksabhaquestions/annex/175/AU1974.pdf
1962,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Gaddigoudar,Shri Parvatagouda Chandanagouda",Integrated Child Development Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU1962.pdf
1959,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Dwivedi,Shri Harish",Stree Shakti Puruskar,http://164.100.24.220/loksabhaquestions/annex/175/AU1959.pdf
1957,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sinha,Shri Jayant",In-country Adoptions,http://164.100.24.220/loksabhaquestions/annex/175/AU1957.pdf
1953,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Rathore,Col. Rajyavardhan Singh",Mother and Child Protection Card Under PMMVY,http://164.100.24.220/loksabhaquestions/annex/175/AU1953.pdf
1952,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Devi,Mrs. Annpurna ,Singh,Shri Dushyant,Verma,Smt. Rekha Arun",One Stop Centre,http://164.100.24.220/loksabhaquestions/annex/175/AU1952.pdf
1946,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Joshi,Prof. Rita Bahuguna",Child Protection Policy,http://164.100.24.220/loksabhaquestions/annex/175/AU1946.pdf
1933,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Mallah,Shri Kripanath",Saksham Anganwadis,http://164.100.24.220/loksabhaquestions/annex/175/AU1933.pdf
1930,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Thakur,Sadhvi Pragya Singh",Basic Facilities in Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/175/AU1930.pdf
1925,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Oram,Shri Jual","Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",http://164.100.24.220/loksabhaquestions/annex/175/AU1925.pdf
1921,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Vallabbhaneni,Shri Balashowry",Functions of Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/175/AU1921.pdf
1916,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Jothimani,Ms. S.",Legal Age of Marriage for Women,http://164.100.24.220/loksabhaquestions/annex/175/AU1916.pdf
1899,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Devi,Smt. Veena,Raut,Shri Vinayak Bhaurao,Verma,Smt. Rekha Arun",Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/175/AU1899.pdf
1880,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Misra,Shri Pinaki",Stunting and Wasting in Children,http://164.100.24.220/loksabhaquestions/annex/175/AU1880.pdf
1878,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Naik-Nimbalkar,Shri Ranjeetsinha Hindurao,Shrangre,Shri Sudhakar Tukaram,Yadav,Shri Ram Kripal,Yadav,Shri Krishna Pal Singh,Patel,Shri Devji Mansingram",Smartphones for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/175/AU1878.pdf
1872,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Velusamy,Shri P.,Shanmuga Sundaram,Shri K.",Acid Attack on Minor Dalit Girls,http://164.100.24.220/loksabhaquestions/annex/175/AU1872.pdf
1863,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Pala,Shri Vincent H",Impact of COVID-19 on Malnutrition,http://164.100.24.220/loksabhaquestions/annex/175/AU1863.pdf
1861,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Mandlik,Shri Sanjay Sadashivrao,Oja,Smt. Queen,Shyal,Dr. Bharatiben Dhirubhai,Barne,Shri Shrirang Appa,Sahu,Shri Chandra Sekhar,Gupta,Shri Sudheer,Mahato,Shri Bidyut Baran",Beti Bachao Beti Padhao Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU1861.pdf
1858,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Chatterjee,Smt. Locket",Female Juvenile Homes,http://164.100.24.220/loksabhaquestions/annex/175/AU1858.pdf
1855,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Bisoyi,Smt. Pramila",Supplementary Nutrition Programme,http://164.100.24.220/loksabhaquestions/annex/175/AU1855.pdf
1852,UNSTARRED ,12.02.2021,WOMEN AND CHILD DEVELOPMENT,"Kirtikar,Shri Gajanan Chandrakant,Kumar,Shri Dhanush M,Selvam,Shri Ganesan,Annadurai,Shri C.N.",Pradhan Mantri Mahila Shakti Kendra Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU1852.pdf
64,STARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Kunwar, Danish Ali",Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/175/AS64.pdf
916,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Shyam Yadav",Mahila Shakti Kendras,http://164.100.24.220/loksabhaquestions/annex/175/AU916.pdf
915,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Pal ,Shri Jagdambika",Reopening of Anganwadis,http://164.100.24.220/loksabhaquestions/annex/175/AU915.pdf
904,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Uday Pratap",Smartphones for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/175/AU904.pdf
878,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Badal,Smt. Harsimrat Kaur",Nutritional Security in India,http://164.100.24.220/loksabhaquestions/annex/175/AU878.pdf
871,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Prasad,Shri Chandeshwar",Welfare Schemes for Rural Women,http://164.100.24.220/loksabhaquestions/annex/175/AU871.pdf
865,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sarkar,Dr. Subhas",Implementation of POSHAN Abhiyan,http://164.100.24.220/loksabhaquestions/annex/175/AU865.pdf
861,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Majumdar,Dr. Sukanta,Pramanik,Shri Nisith,Roy,Dr. Jayanta Kumar,Chauhan,Shri Nihal Chand,Meena,Smt. Jaskaur,Singh Deo,Smt. Sangeeta Kumari,Singh,Shri Bhola,Sonkar,Shri Vinod Kumar",Beti Bachao Beti Padhao,http://164.100.24.220/loksabhaquestions/annex/175/AU861.pdf
855,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Shah,Smt. Mala Rajya Laxmi,Chandel,Kunwar Pushpendra Singh",Indecent Depiction of Women on Social Media,http://164.100.24.220/loksabhaquestions/annex/175/AU855.pdf
840,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Beniwal,Shri Hanuman,Bisen,Dr. Dhal Singh",Nirbhaya Yojana,http://164.100.24.220/loksabhaquestions/annex/175/AU840.pdf
835,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sharma,Shri Anurag",Women Prisoners in India,http://164.100.24.220/loksabhaquestions/annex/175/AU835.pdf
828,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Chidambaram,Shri Karti P.",Domestic Violence During the Lockdown,http://164.100.24.220/loksabhaquestions/annex/175/AU828.pdf
815,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Agrawal, Shri Rajendra",Assessment of Integrated Child Development Schemes,http://164.100.24.220/loksabhaquestions/annex/175/AU815.pdf
810,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Thakur,Shri Shantanu,Mallah,Shri Kripanath",Poshan Abhiyan,http://164.100.24.220/loksabhaquestions/annex/175/AU810.pdf
801,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Tharoor,Dr. Shashi",Internal Complaints Committees,http://164.100.24.220/loksabhaquestions/annex/175/AU801.pdf
799,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Baghel,Shri Vijay,Sao,Shri Arun",Mobile Maternity Homes and Neo-Natal Care Centres,http://164.100.24.220/loksabhaquestions/annex/175/AU799.pdf
795,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Ambareesh,Smt. Sumalatha,Suresh,Shri Doddaalahalli Kempegowda,Kumar,Dr. Virendra ,Chudasama,Shri Rajeshbhai Naranbhai",Sexual Harrassment of Women at Workplace,http://164.100.24.220/loksabhaquestions/annex/175/AU795.pdf
793,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Kodikunnil,Shri Suresh",Protection of Children from Sexual Offence Act,http://164.100.24.220/loksabhaquestions/annex/175/AU793.pdf
787,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Choudhary,Shri Chandra Prakash,Seth,Shri Sanjay",Sakhi/One Stop Centres,http://164.100.24.220/loksabhaquestions/annex/175/AU787.pdf
779,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sigriwal,Shri Janardan Singh",Violence/Abuse against Children,http://164.100.24.220/loksabhaquestions/annex/175/AU779.pdf
769,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Sarangi,Smt. Aparajita",Crimes against Children,http://164.100.24.220/loksabhaquestions/annex/175/AU769.pdf
762,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Devarayalu,Shri Lavu Sri Krishna,Jaiswal,Dr. Sanjay",Mahila e-Haats,http://164.100.24.220/loksabhaquestions/annex/175/AU762.pdf
760,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Y,Shri Devendrappa",Unutilised funds Under ICDS Scheme,http://164.100.24.220/loksabhaquestions/annex/175/AU760.pdf
756,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Vishnu Prasad,Dr. M.K.",Maternal Mortality Ratio,http://164.100.24.220/loksabhaquestions/annex/175/AU756.pdf
741,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Kanumuru,Shri Raghu Ramakrishna Raju",Ujjwala and Swadhar Schemes,http://164.100.24.220/loksabhaquestions/annex/175/AU741.pdf
710,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Muraleedharan,Shri K.,Antony, Shri Anto ,Chidambaram,Shri Karti P.",Impact of COVID-19 on Integrated Child Development Services,http://164.100.24.220/loksabhaquestions/annex/175/AU710.pdf
707,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Mandlik,Shri Sanjay Sadashivrao,Barne,Shri Shrirang Appa,Sahu,Shri Chandra Sekhar,Gupta,Shri Sudheer,Mahato,Shri Bidyut Baran",National Nutrition Mission,http://164.100.24.220/loksabhaquestions/annex/175/AU707.pdf
705,UNSTARRED ,05.02.2021,WOMEN AND CHILD DEVELOPMENT,"Dubey,Dr. Nishikant ,Khaleque, Shri Abdul,Dubey,Shri Vijay Kumar,Siddeshwara,Shri Gowdar Mallikarjunappa,Tripura,Shri Rebati",Schemes for Welfare of Women and Children,http://164.100.24.220/loksabhaquestions/annex/175/AU705.pdf
2296,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Krishna Pal Singh",Women Entrepreneurship,http://164.100.24.220/loksabhaquestions/annex/174/AU2296.pdf
2286,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Kumar,Dr. Virendra",Missing Children,http://164.100.24.220/loksabhaquestions/annex/174/AU2286.pdf
2279,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Santosh",Anganwadi Centres under MGNREGA,http://164.100.24.220/loksabhaquestions/annex/174/AU2279.pdf
2274,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Kaswan,Shri Rahul",Malnutrition among Children,http://164.100.24.220/loksabhaquestions/annex/174/AU2274.pdf
2272,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad",Malnutrition among children,http://164.100.24.220/loksabhaquestions/annex/174/AU2272.pdf
2269,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Syed,Shri Imtiaz Jaleel ,Owaisi,Shri Asaduddin",Beti Bachao-Beti Padhao (BBBP),http://164.100.24.220/loksabhaquestions/annex/174/AU2269.pdf
2265,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Antony, Shri Anto",Drug Use,http://164.100.24.220/loksabhaquestions/annex/174/AU2265.pdf
2261,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Sinha,Shri Jayant",Poshan Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/174/AU2261.pdf
2253,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Chudasama,Shri Rajeshbhai Naranbhai",Child Care Institutions,http://164.100.24.220/loksabhaquestions/annex/174/AU2253.pdf
2251,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Y,Shri Devendrappa",Digitisation of Anganwadi Centres (AWCs),http://164.100.24.220/loksabhaquestions/annex/174/AU2251.pdf
2231,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Siddeshwara,Shri Gowdar Mallikarjunappa",Diversion of Funds under BBBP,http://164.100.24.220/loksabhaquestions/annex/174/AU2231.pdf
2219,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Ritesh",Job Loss for Women,http://164.100.24.220/loksabhaquestions/annex/174/AU2219.pdf
2215,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Mendhe,Shri Sunil Baburao",Mahila E-Haat,http://164.100.24.220/loksabhaquestions/annex/174/AU2215.pdf
2204,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Maadam,Smt. Poonamben Hematbhai",Setting up of Anganwadi Kendras,http://164.100.24.220/loksabhaquestions/annex/174/AU2204.pdf
2204,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Maadam,Smt. Poonamben Hematbhai",Setting up of Anganwadi Kendras,http://164.100.24.220/loksabhaquestions/annex/174/AU2204.pdf
2178,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Meena,Shri Arjunlal",Atrocities Against Women during Lockdown,http://164.100.24.220/loksabhaquestions/annex/174/AU2178.pdf
2165,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Dwivedi,Shri Harish",Development of Women and Children,http://164.100.24.220/loksabhaquestions/annex/174/AU2165.pdf
2164,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Kumar Pintu,Shri Sunil",Women and Child Development Committees,http://164.100.24.220/loksabhaquestions/annex/174/AU2164.pdf
2160,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Ravindhranath, Shri P.",Rastriya Mahila Kosh,http://164.100.24.220/loksabhaquestions/annex/174/AU2160.pdf
2158,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Bharat,Shri Margani",Violence against Children,http://164.100.24.220/loksabhaquestions/annex/174/AU2158.pdf
2152,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Haridas,Ms. Ramya ,Vajendla Rao,Smt. Poonam (Mahajan)",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/174/AU2152.pdf
2149,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,Dr. T. Sumathy (a) Thamizhachi Thangapandian,Women Jan Dhan Account Holders,http://164.100.24.220/loksabhaquestions/annex/174/AU2149.pdf
2147,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Khaleque, Shri Abdul",Poshan Abhiyan,http://164.100.24.220/loksabhaquestions/annex/174/AU2147.pdf
2128,UNSTARRED ,23.09.2020,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Majumdar,Dr. Sukanta,Roy,Dr. Jayanta Kumar,Singh Deo,Smt. Sangeeta Kumari,Singh,Shri Bhola,Sonkar,Shri Vinod Kumar",Food and Nutrition Board,http://164.100.24.220/loksabhaquestions/annex/174/AU2128.pdf
